# postcodes.txt
#
# This file is distributed as part of FindMyNearest. It contains
# calculated mean locations for GB postcode areas, districts and
# sectors.
#
# These data are derived from the Ordnance Survey Code Point Open
# data and are made availabe under the Creative Commons 
# Attribution 3.0 licence, see
# http://creativecommons.org/licenses/by/3.0/
#
# Any derivitive work must retain the following attribution
#
# Contains Ordnance Survey data (c) Crown copyright and 
# database right 2010
#
# Contains Royal Mail data (c) Royal Mail copyright and 
# database right 2010
#
# postcode	eastings	northings
BH22 0	408452	102600
BH22 2	407626	101043
BH22 8	408199	99367
BH22 9	407410	100737
BH22	407939	100704
BH23 1	415741	92834
BH23 2	414518	94147
BH23 3	417482	92973
BH23 4	419068	93361
BH23 5	421171	93941
BH23 6	412235	97144
BH23 7	416991	95290
BH23 8	418681	98226
BH23 9	415961	92691
BH23	417389	94136
BH24 1	415466	105531
BH24 2	411957	103802
BH24 3	416031	105942
BH24 4	421037	103469
BH24 9	415106	106753
BH24	415079	105026
BH25 5	424520	95814
BH25 6	424309	94746
BH25 7	423681	93564
BH25 9	424445	94773
BH25	424221	94846
BH3 7	408416	92944
BH3	408416	92944
BH31 6	409086	108328
BH31 7	409055	108948
BH31 9	410557	107663
BH31	409163	108437
BH4 0	406986	91371
BH4 8	407132	90830
BH4 9	407225	91728
BH4	407156	91306
BH5 1	411471	91611
BH5 2	412516	91970
BH5	411895	91757
BH6 3	413834	91737
BH6 4	415039	91587
BH6 5	413487	92562
BH6	413982	92028
BH7 6	412385	92709
BH7 7	411900	93382
BH7	412215	92944
BH8 0	411331	94998
BH8 8	409915	92443
BH8 9	410620	93858
BH8	410518	93583
BH9 1	409093	93962
BH9 2	408482	94356
BH9 3	409617	95246
BH9	409028	94482
BH	407737	94530
BL0 0	379800	418312
BL0 9	378690	415972
BL0	379142	416924
BL1 1	371782	409298
BL1 2	371499	409782
BL1 3	370904	410495
BL1 4	370315	409546
BL1 5	368841	409997
BL1 6	370241	411109
BL1 7	370878	412373
BL1 8	371600	411252
BL1 9	371870	410090
BL1	370729	410497
BL11 1	371908	408524
BL11	371908	408524
BL2 1	372549	408728
BL2 2	372909	410150
BL2 3	373793	411712
BL2 4	374297	411957
BL2 5	375020	410189
BL2 6	374451	409091
BL2	373921	410276
BL3 1	375193	407523
BL3 2	372366	407434
BL3 3	370445	407164
BL3 4	369141	407786
BL3 5	370448	408399
BL3 6	371306	408123
BL3	371463	407694
BL4 0	371976	405900
BL4 4	374067	404733
BL4 7	373539	406198
BL4 8	375039	404905
BL4 9	373497	405290
BL4	373524	405564
BL5 1	368850	405743
BL5 2	365177	405190
BL5 3	365587	406583
BL5	365880	405936
BL6 4	366492	409020
BL6 5	362459	410858
BL6 6	365026	410866
BL6 7	363812	411931
BL6 9	364661	410314
BL6	364348	410698
BL7 0	373745	416689
BL7 8	367407	416193
BL7 9	371746	413894
BL7	372150	414985
BL78 1	373174	407024
BL78 7	371792	409796
BL78	372898	407579
BL8 1	379203	411868
BL8 2	378531	410463
BL8 3	377581	412459
BL8 4	377602	414565
BL8 9	379689	410666
BL8	378479	412010
BL9 0	380376	410586
BL9 5	380209	413202
BL9 6	381352	412368
BL9 7	382150	411006
BL9 8	381392	407602
BL9 9	380580	409258
BL9	381071	410633
BL	373062	410160
BN1 1	531096	104274
BN1 2	530413	104292
BN1 3	530682	104770
BN1 4	531223	105071
BN1 5	529830	106929
BN1 6	530735	106534
BN1 7	531814	106625
BN1 8	530925	108478
BN1 9	533766	108642
BN1	531075	106289
BN10 7	540502	101752
BN10 8	541675	101271
BN10 9	541345	101349
BN10	541120	101496
BN11 1	514765	102919
BN11 2	515992	103166
BN11 3	514388	102413
BN11 4	513858	102911
BN11 5	513018	102601
BN11 9	514853	102888
BN11	514462	102819
BN12 4	511578	102550
BN12 5	509673	102397
BN12 6	510858	103504
BN12 9	511190	102828
BN12	510768	102778
BN13 1	512970	103864
BN13 2	512333	104951
BN13 3	511330	105422
BN13	512149	104805
BN14 0	512757	107456
BN14 7	513924	103927
BN14 8	515238	104073
BN14 9	514465	104873
BN14	514075	105008
BN15 0	517564	105536
BN15 5	518259	104510
BN15 8	518492	104065
BN15 9	517917	104783
BN15	518008	104760
BN16 1	507307	102371
BN16 2	505287	101885
BN16 3	505407	102791
BN16 4	506898	104246
BN16 9	504323	102844
BN16	506025	102747
BN17 5	502651	101922
BN17 6	503740	102736
BN17 7	502463	103266
BN17	503027	102638
BN18 0	497838	105241
BN18 8	501956	107069
BN18 9	502233	107791
BN18	499931	106436
BN2 0	532105	104348
BN2 1	532072	103927
BN2 3	532005	105473
BN2 4	533188	106648
BN2 5	533498	104129
BN2 6	535999	105494
BN2 7	536732	102846
BN2 8	538387	102500
BN2 9	531914	104852
BN2	533848	104526
BN20 0	555932	98173
BN20 7	560258	97903
BN20 8	559112	99874
BN20 9	558594	102611
BN20	558916	99659
BN21 1	559908	99674
BN21 2	560208	100283
BN21 3	561398	99163
BN21 4	561068	98689
BN21 9	560779	99086
BN21	560621	99469
BN22 0	559507	102805
BN22 7	562339	100092
BN22 8	561783	100151
BN22 9	560700	102514
BN22	561060	101351
BN23 5	564202	101916
BN23 6	563196	101451
BN23 7	562978	102640
BN23 8	561961	103561
BN23	563065	102338
BN24 5	562627	104658
BN24 6	566075	104286
BN24 9	563720	104016
BN24	564154	104444
BN25 1	548440	98969
BN25 2	547649	99989
BN25 3	549453	99924
BN25 4	549819	99058
BN25 9	548233	99001
BN25	548729	99545
BN26 5	555934	103863
BN26 6	557113	105571
BN26 9	558208	105054
BN26	556570	104742
BN27 1	559738	110488
BN27 2	559497	109111
BN27 3	557337	109773
BN27 4	561577	112606
BN27 9	558961	109446
BN27	559378	110456
BN3 1	529824	104834
BN3 2	528914	104646
BN3 3	528990	105156
BN3 4	527422	104893
BN3 5	527743	105383
BN3 6	529158	106303
BN3 7	527684	106202
BN3 8	527131	107078
BN3	528466	105540
BN41 1	525889	105366
BN41 2	525406	106736
BN41 9	526325	105146
BN41	525622	106156
BN42 4	524426	105708
BN42	524426	105708
BN43 5	521655	105324
BN43 6	522813	105743
BN43 9	521813	105195
BN43	522110	105472
BN44 3	518274	111638
BN44	518274	111638
BN45 7	527405	112172
BN45	527405	112172
